customer_id,age,income,purchases,website_visits,churn,purchase_per_visit
1,0.032258064516129004,0.0625,0.4,0.38095238095238093,0,0.4166666666666667
2,0.32258064516129026,0.328125,0.7000000000000001,0.6666666666666666,0,0.4444444444444444
3,0.6774193548387097,0.578125,0.20000000000000004,0.14285714285714285,1,0.42857142857142855
4,0.16129032258064513,0.171875,0.9,0.857142857142857,0,0.45454545454545453
5,0.8709677419354838,0.78125,0.1,0.047619047619047616,1,0.4
6,0.4516129032258065,0.421875,0.5000000000000001,0.47619047619047616,0,0.42857142857142855
7,0.5806451612903225,0.5,0.30000000000000004,0.4285714285714286,1,0.3076923076923077
8,0.09677419354838712,0.109375,0.8,0.7619047619047619,0,0.45
9,0.4516129032258065,0.421875,0.4,0.33333333333333326,1,0.45454545454545453
10,1.0,1.0,0.0,0.0,1,0.25
11,0.22580645161290325,0.25,0.6000000000000001,0.5714285714285714,0,0.4375
12,0.7419354838709677,0.640625,0.20000000000000004,0.19047619047619047,1,0.375
13,0.38709677419354827,0.375,0.5000000000000001,0.5238095238095237,0,0.4
14,0.0,0.0,1.0,1.0,0,0.44
15,0.8064516129032258,0.734375,0.1,0.09523809523809523,1,0.3333333333333333
16,0.29032258064516125,0.296875,0.7000000000000001,0.6190476190476191,0,0.47058823529411764
17,0.6451612903225807,0.546875,0.30000000000000004,0.23809523809523808,1,0.4444444444444444
18,0.12903225806451613,0.140625,0.8,0.8095238095238095,0,0.42857142857142855
19,0.935483870967742,0.875,0.1,0.047619047619047616,1,0.4
20,0.4838709677419355,0.453125,0.5000000000000001,0.4285714285714286,0,0.46153846153846156
